Incidence Angle,Principal Emission Angle,Adjusted Emission Angle,Azimuth Angle,Phase Angle,Adjusted Phase Angle
30,-2,15.13,97.5,32,35.09
30,0,15,90,30,33.32
30,2,15.13,82.5,28,31.56
30,4,15.52,75.26,26,29.83
30,6,16.14,68.48,24,28.14
30,8,16.98,62.31,22,26.49
30,10,17.99,56.78,20,24.88
30,12,19.16,51.9,18,23.33
30,14,20.45,47.62,16,21.85
30,16,21.85,43.89,14,20.45
30,18,23.33,40.63,12,19.16
30,20,24.88,37.79,10,17.99
30,22,26.49,35.29,8,16.98
30,24,28.14,33.1,6,16.14
30,26,29.83,31.17,4,15.52
30,28,31.56,29.46,2,15.13
30,30,33.32,27.94,0,15
30,32,35.09,26.58,2,15.13
30,34,36.89,25.37,4,15.52
30,36,38.71,24.28,6,16.14
30,38,40.54,23.3,8,16.98
30,40,42.38,22.42,10,17.99
30,42,44.23,21.62,12,19.16
30,44,46.1,20.89,14,20.45
30,46,47.97,20.23,16,21.85
30,48,49.85,19.64,18,23.33
30,50,51.74,19.09,20,24.88
35,-50,51.74,160.91,85,85.32
35,-48,49.85,160.36,83,83.38
35,-46,47.97,159.77,81,81.45
35,-44,46.1,159.11,79,79.52
35,-42,44.23,158.38,77,77.59
35,-40,42.38,157.58,75,75.66
35,-38,40.54,156.7,73,73.73
35,-36,38.71,155.72,71,71.81
35,-34,36.89,154.63,69,69.88
35,-32,35.09,153.42,67,67.96
35,-30,33.32,152.06,65,66.04
35,-28,31.56,150.54,63,64.12
35,-26,29.83,148.83,61,62.21
35,-24,28.14,146.9,59,60.29
35,-22,26.49,144.71,57,58.38
35,-20,24.88,142.21,55,56.48
35,-18,23.33,139.37,53,54.58
35,-16,21.85,136.11,51,52.68
35,-14,20.45,132.38,49,50.79
35,-12,19.16,128.1,47,48.91
35,-10,17.99,123.22,45,47.03
35,-8,16.98,117.69,43,45.16
35,-6,16.14,111.52,41,43.31
35,-4,15.52,104.74,39,41.46
35,-2,15.13,97.5,37,39.62
35,0,15,90,35,37.8
35,2,15.13,82.5,33,35.99
35,4,15.52,75.26,31,34.2
35,6,16.14,68.48,29,32.43
35,8,16.98,62.31,27,30.69
35,10,17.99,56.78,25,28.98
35,12,19.16,51.9,23,27.31
35,14,20.45,47.62,21,25.68
35,16,21.85,43.89,19,24.09
35,18,23.33,40.63,17,22.58
35,20,24.88,37.79,15,21.14
35,22,26.49,35.29,13,19.79
35,24,28.14,33.1,11,18.56
35,26,29.83,31.17,9,17.46
35,28,31.56,29.46,7,16.53
35,30,33.32,27.94,5,15.8
35,32,35.09,26.58,3,15.29
35,34,36.89,25.37,1,15.03
35,36,38.71,24.28,1,15.03
35,38,40.54,23.3,3,15.29
35,40,42.38,22.42,5,15.8
35,42,44.23,21.62,7,16.53
35,44,46.1,20.89,9,17.46
35,46,47.97,20.23,11,18.56
35,48,49.85,19.64,13,19.79
35,50,51.74,19.09,15,21.14
40,-50,51.74,160.91,90,90.15
40,-48,49.85,160.36,88,88.22
40,-46,47.97,159.77,86,86.28
40,-44,46.1,159.11,84,84.35
40,-42,44.23,158.38,82,82.42
40,-40,42.38,157.58,80,80.49
40,-38,40.54,156.7,78,78.56
40,-36,38.71,155.72,76,76.63
40,-34,36.89,154.63,74,74.7
40,-32,35.09,153.42,72,72.77
40,-30,33.32,152.06,70,70.85
40,-28,31.56,150.54,68,68.92
40,-26,29.83,148.83,66,67
40,-24,28.14,146.9,64,65.08
40,-22,26.49,144.71,62,63.16
40,-20,24.88,142.21,60,61.25
40,-18,23.33,139.37,58,59.34
40,-16,21.85,136.11,56,57.43
40,-14,20.45,132.38,54,55.53
40,-12,19.16,128.1,52,53.63
40,-10,17.99,123.22,50,51.74
40,-8,16.98,117.69,48,49.85
40,-6,16.14,111.52,46,47.97
40,-4,15.52,104.74,44,46.1
40,-2,15.13,97.5,42,44.23
40,0,15,90,40,42.38
40,2,15.13,82.5,38,40.54
40,4,15.52,75.26,36,38.71
40,6,16.14,68.48,34,36.89
40,8,16.98,62.31,32,35.09
40,10,17.99,56.78,30,33.32
40,12,19.16,51.9,28,31.56
40,14,20.45,47.62,26,29.83
40,16,21.85,43.89,24,28.14
40,18,23.33,40.63,22,26.49
40,20,24.88,37.79,20,24.88
40,22,26.49,35.29,18,23.33
40,24,28.14,33.1,16,21.85
40,26,29.83,31.17,14,20.45
40,28,31.56,29.46,12,19.16
40,30,33.32,27.94,10,17.99
40,32,35.09,26.58,8,16.98
40,34,36.89,25.37,6,16.14
40,36,38.71,24.28,4,15.52
40,38,40.54,23.3,2,15.13
40,40,42.38,22.42,0,15
40,42,44.23,21.62,2,15.13
40,44,46.1,20.89,4,15.52
40,46,47.97,20.23,6,16.14
40,48,49.85,19.64,8,16.98
40,50,51.74,19.09,10,17.99
45,-50,51.74,160.91,95,94.98
45,-48,49.85,160.36,93,93.05
45,-46,47.97,159.77,91,91.12
45,-44,46.1,159.11,89,89.18
45,-42,44.23,158.38,87,87.25
45,-40,42.38,157.58,85,85.32
45,-38,40.54,156.7,83,83.38
45,-36,38.71,155.72,81,81.45
45,-34,36.89,154.63,79,79.52
45,-32,35.09,153.42,77,77.59
45,-30,33.32,152.06,75,75.66
45,-28,31.56,150.54,73,73.73
45,-26,29.83,148.83,71,71.81
45,-24,28.14,146.9,69,69.88
45,-22,26.49,144.71,67,67.96
45,-20,24.88,142.21,65,66.04
45,-18,23.33,139.37,63,64.12
45,-16,21.85,136.11,61,62.21
45,-14,20.45,132.38,59,60.29
45,-12,19.16,128.1,57,58.38
45,-10,17.99,123.22,55,56.48
45,-8,16.98,117.69,53,54.58
45,-6,16.14,111.52,51,52.68
45,-4,15.52,104.74,49,50.79
45,-2,15.13,97.5,47,48.91
45,0,15,90,45,47.03
45,2,15.13,82.5,43,45.16
45,4,15.52,75.26,41,43.31
45,6,16.14,68.48,39,41.46
45,8,16.98,62.31,37,39.62
45,10,17.99,56.78,35,37.8
45,12,19.16,51.9,33,35.99
45,14,20.45,47.62,31,34.2
45,16,21.85,43.89,29,32.43
45,18,23.33,40.63,27,30.69
45,20,24.88,37.79,25,28.98
45,22,26.49,35.29,23,27.31
45,24,28.14,33.1,21,25.68
45,26,29.83,31.17,19,24.09
45,28,31.56,29.46,17,22.58
45,30,33.32,27.94,15,21.14
45,32,35.09,26.58,13,19.79
45,34,36.89,25.37,11,18.56
45,36,38.71,24.28,9,17.46
45,38,40.54,23.3,7,16.53
45,40,42.38,22.42,5,15.8
45,42,44.23,21.62,3,15.29
45,44,46.1,20.89,1,15.03
45,46,47.97,20.23,1,15.03
45,48,49.85,19.64,3,15.29
45,50,51.74,19.09,5,15.8
